[2025-11-30 18:51:46] Service Started
[2025-11-30 18:52:23] Idle Start
[2025-11-30 18:56:13] Idle End
[2025-11-30 19:03:12] Idle Start
[2025-11-30 19:05:16] Idle End
[2025-11-30 19:06:17] Idle Start
[2025-11-30 19:07:18] Idle End
[2025-11-30 19:08:20] Idle Start
[2025-11-30 19:09:11] Idle End
[2025-11-30 19:10:11] Idle Start
[2025-11-30 19:10:26] Idle End
[2025-11-30 19:12:43] Idle Start
[2025-11-30 19:14:06] Idle End
[2025-11-30 19:16:13] Idle Start
[2025-11-30 19:16:51] Idle End
[2025-11-30 19:19:43] Idle Start
[2025-11-30 19:28:00] Idle End
[2025-11-30 19:29:01] Idle Start
[2025-11-30 20:05:16] Idle End
[2025-11-30 20:06:17] Idle Start
[2025-11-30 20:09:48] Idle End
[2025-11-30 20:10:53] Idle Start
[2025-11-30 20:12:13] Idle End
[2025-11-30 20:13:13] Idle Start
[2025-11-30 20:13:31] Idle End
[2025-11-30 20:14:48] Idle Start
[2025-11-30 20:22:08] Idle End
[2025-11-30 20:25:21] Idle Start
[2025-11-30 20:26:29] Idle End
[2025-11-30 20:28:31] Idle Start
[2025-11-30 22:12:49] Idle End
[2025-11-30 22:14:54] Idle Start
[2025-11-30 22:22:41] Idle End
[2025-11-30 22:25:51] Idle Start
[2025-11-30 22:34:02] Idle End
[2025-11-30 22:35:57] Idle Start
[2025-11-30 22:43:26] Idle End
[2025-11-30 22:47:30] Idle Start
[2025-11-30 22:49:05] Idle End
[2025-11-30 22:50:33] Idle Start
[2025-11-30 22:55:16] Idle End
[2025-11-30 23:21:19] Idle Start
[2025-11-30 23:24:02] Idle End
