[2025-11-23 19:15:01] Service Started
[2025-11-23 19:15:35] Idle Start
[2025-11-23 19:19:03] Idle End
[2025-11-23 19:23:35] Idle Start
[2025-11-23 19:26:40] Idle End
[2025-11-23 19:28:05] Idle Start
[2025-11-23 19:32:21] Idle End
[2025-11-23 19:35:38] Idle Start
[2025-11-23 19:52:27] Idle End
[2025-11-23 20:34:04] Idle Start
[2025-11-23 20:34:48] Idle End
[2025-11-23 20:36:50] Idle Start
[2025-11-23 20:38:09] Idle End
[2025-11-23 21:19:34] Idle Start
[2025-11-23 21:20:12] Idle End
[2025-11-23 21:22:00] Idle Start
[2025-11-23 21:25:29] Idle End
[2025-11-23 22:12:15] Idle Start
[2025-11-23 22:12:52] Idle End
[2025-11-23 22:28:41] Idle Start
[2025-11-23 22:42:27] Idle End
[2025-11-23 22:54:51] Idle Start
[2025-11-23 22:58:50] Idle End
